Title,Birthyear,Occupational_group
Šaćir_Hot,1991,athlete
A'Shawn_Robinson,1995,athlete
A.J._Shannon,1980,athlete
A._A._Ewing,,athlete
A._Austin_Tate,1894,athlete
A._B._Dille,,athlete
A._B._Morris,1900,athlete
"A._B._Morrison,_Jr.",1878,athlete
A._B._Potter,1872,athlete
A._B._Stoney,1892,athlete
A._Barr_Snively,1899,athlete
A._C._Hoffman,,athlete
A._Eugene_Haylett,,athlete
A._F._Holste,1874,athlete
A._G._Scanlon,1890,athlete
A._J._English,,athlete
A._J._Johnson_(linebacker),1991,athlete
A._J._Mandani,1987,athlete
A._J._Nowak,,athlete
A._J._Sturzenegger,1888,athlete
A._J._Wynder,1964,athlete
A._L._McRae,1861,athlete
A._L._Phillips,,athlete
A._L._Swanson,,athlete
A._L._Williams_(American_football),1934,athlete
A._M._Miller,1861,athlete
A._N._Hornby__AN_Hornby__1,,athlete
"A._P._Hall,_Jr.",1880,athlete
A._R._Kennedy,1876,athlete
A._R._VanCleave,1889,athlete
A._S._Jeffs,1871,athlete
A._T._Myers,,athlete
A._Vernon_Randall,,athlete
A._W._Ehrsam,1876,athlete
A._W._Jeffries,,athlete
A._W._Kjellstrand,1864,athlete
A._W._Ristine,1878,athlete
A._W._Shepard,1865,athlete
Aminata_Nar_Diop,1983,athlete
Aminu_Timberlake,,athlete
Amir_Amini,1984,athlete
Amir_Garrett,1992,athlete
Amit_Shumovich,1992,athlete
Amos_Allen_(gridiron_football),1983,athlete
Amos_Alonzo_Stagg,,athlete
"Amos_Alonzo_Stagg,_Jr.",1899,athlete
Amos_Foster,1880,athlete
Amos_Fowler,1956,athlete
Amos_Magee,1971,athlete
Amos_W._Marston,,athlete
Amr_Aly,1962,athlete
Amy_Anderson_(golfer),1992,athlete
Amy_Dahl,,athlete
Amy_Fruhwirth,1968,athlete
Amy_Garnett,1976,athlete
Amy_Gutierrez,,athlete
Amy_Hung,1980,athlete
Amy_Suiter,,athlete
Amy_Vermeulen,1983,athlete
An_Byeong-hun,1991,athlete
An_Byong-jun,,athlete
An_Dong-hyeok,1988,athlete
An_Ik-soo,1965,athlete
An_Jae-jun,1986,athlete
An_Sun-jin,,athlete
An_Sung-bin,1988,athlete
An_Sung-min,1985,athlete
An_Yong-hak,,athlete
An_Yong-woo,1991,athlete
Anat_Maimoni,1982,athlete
Ancil_D._Brown,1873,athlete
Ancil_Farrier,1986,athlete
Ander_Monro,1981,athlete
Anders_Haglund,1964,athlete
Anders_Hansen,,athlete
Andile_Jali,1990,athlete
Andile_Jho,1992,athlete
Andra_Franklin,1959,athlete
Andre_McGee,,athlete
Andre_Schmid_(soccer),1983,athlete
"Andre_Smith_(basketball,_born_1985)",1985,athlete
Andre_Snyman,1974,athlete
Andre_Spencer,1964,athlete
Andre_Torrey,1982,athlete
Andre_Toussaint,1981,athlete
Andre_Townsend,1962,athlete
Andre_Wadsworth,1974,athlete
Andre_Wakefield,1955,athlete
Andre_Weathers,,athlete
Andre_Young_(American_football),1960,athlete
Andrea_Pavan,1989,athlete
Andres_Arango,,athlete
Andres_Gonzales,1983,athlete
Andrew_A._Stone,,athlete
Andrew_Amos,1863,athlete
Andrew_Balfour,1873,athlete
Andrew_Barron,,athlete
Andrew_Beerwinkel,1993,athlete
Andrew_Billings,,athlete
Andrew_Bird_Glaspie,1876,athlete
Andrew_Boyens,,athlete
Andrew_Brown_(American_football),1995,athlete
Andrew_Browne_(rugby_union),1987,athlete
Andrew_Calof,1991,athlete
Andrew_Checketts,,athlete
Andrew_Clinch,1867,athlete
Andrew_Coltart,,athlete
Andrew_Combs,,athlete
Andrew_Conway,1991,athlete
Andrew_Copelan,,athlete
Andrew_Daish,1984,athlete
Andrew_Durutalo,1987,athlete
Andrew_Ellis,,athlete
Andrew_Fields,,athlete
Andrew_Fox_(footballer),1990,athlete
Andrew_G._Reid,1878,athlete
Andrew_Gaze,,athlete
Andrew_Gill_(coach),,athlete
Andrew_Goodman_(rugby_union),1982,athlete
Andrew_Goudelock,,athlete
Andrew_Harriman,1964,athlete
Andrew_Hoffman_(American_football),1982,athlete
Andrew_Hore,,athlete
Andrew_Hughes_(rugby_union),1995,athlete
Andrew_Jackson_(running_back),1964,athlete
