Title, Birthyear, occupationgroup
Éamon_de_Valera,,office holder
Éamon_Ó_Cuív,,office holder
Éamonn_Lawlor,1951,other
Éanna_Ní_Lamhna,1950,other
Şaban_Özdemir,1981,author
Şafak_Pavey,1976,office holder
Şahika_Ercümen,1985,other
Şakir_Eczacıbaşı,1929,other
Šaćir_Hot,1991,athlete
Žaneta_Jaunzeme-Grende,,office holder
Žarko_Domljan,1934,other
Žarko_Puhovski,1946,other
ʻAkilisi_Pōhiva,,office holder
A'Shawn_Robinson,1995,athlete
A.B.C._Whipple,1918,author
"A.C._Greene,_Jr.",1923,author
A.C._Woolner,1878,other
A.E._Dick_Howard,1933,academic
A.E._Muthunayagam,1939,academic
A.F.M._Abdur_Rahman,1951,other
A.F._Salahuddin_Ahmed,1924,other
A.G._Lafley,1947,other
A.J._Shannon,1980,athlete
A.K._Nazmul_Karim,1922,other
A.N._Rai,,academic
A.T._Charlie_Johnson,,academic
A.T._Frank,1966,office holder
A.V._Balakrishnan,,academic
A.V._Macan,1882,other
A.Y.P._Garnett,1820,other
A._A._Ewing,,other
A._A._Fredericks,1891,office holder
A._A._Khan_(academic),1947,other
A._A._Milne,,author
A._Aiyappan,1905,office holder
A._Alfred_Taubman,1924,other
A._Amirthalingam,,other
A._Arulpiragasam,,other
A._Austin_Tate,1894,other
A._B._Dille,,other
A._B._George,1829,office holder
A._B._Masilamani,,other
A._B._Morris,1900,other
"A._B._Morrison,_Jr.",1878,other
A._B._Potter,1872,other
A._B._Rajendra,,office holder
A._B._Stoddard,1967,other
A._B._Stoney,1892,other
A._B._Yehoshua,,author
A._Barr_Snively,1899,other
A._Bartlett_Giamatti,1938,office holder
A._Bernard_Ackerman,1936,academic
A._Blaine_Bowman,,academic
A._Boyd_Ferris,1923,office holder
A._Brown_Moore,1911,office holder
A._C._Dixon,1854,other
A._C._Grayling,,office holder
A._C._Hoffman,,other
A._C._Jose,,office holder
A._C._Muthiah,1940,other
A._Canagaratnam,,office holder
A._Carl_Helmholz,1915,academic
A._Cavour_Chapman,,other
A._Cemal_Eringen,1921,academic
A._Clifford_Jones,1921,office holder
A._Craig_Copetas,1951,other
A._D._Kirwan,1904,office holder
A._D._Roy,1920,other
A._Dale_%22Bud%22_Mayo,,other
A._David_Buckingham,1930,academic
A._DeWade_Langley,,other
A._Dean_Bell,,other
A._E._Douglass,1867,academic
A._E._Housman,,author
A._Edison_Stairs,1924,other
A._Ekanayake_Gunasinha,,office holder
A._Eugene_Haylett,,other
A._F._Holste,1874,other
A._F._K._Organski,1923,academic
A._F._M._Ahsanuddin_Chowdhury,,office holder
A._Felix_du_Pont,1879,other
"A._Felix_du_Pont,_Jr.",1905,other
A._G._Crowe,1948,office holder
A._G._K._Gokhale,1959,other
A._G._Noorani,1930,office holder
A._G._Scanlon,1890,other
A._Gnanathasan,,other
A._Hari_Reddi,1942,academic
A._J._B._Johnston,,author
A._J._Bernheim_Brush,,academic
A._J._English,,athlete
A._J._Johnson_(linebacker),1991,athlete
A._J._M._Muzammil,,office holder
A._J._M._Smith,,author
A._J._Mandani,1987,athlete
A._J._Mayers,1987,other
A._J._McNamara,1936,other
A._J._Nowak,,other
A._J._P._Taylor,1906,other
A._J._Preller,,other
A._J._Ranasinghe,,other
A._J._Sturzenegger,1888,other
A._J._Wynder,1964,other
A._James_Gregor,,academic
A._James_Kerley,,office holder
A._James_Manchin,1927,office holder
A._Jean_de_Grandpré,,office holder
A._Jeyaratnam_Wilson,1928,other
A._Joe_Fish,1942,other
A._Joseph_DeNucci,,office holder
A._K._A._Firoze_Noon,,other
A._K._Antony,,office holder
A._K._Fazlul_Huq,,office holder
A._K._Huntington,1952,other
A._K._Jamil,1939,other
A._K._Shiva_Kumar,,other
A._Kanagasabai,,office holder
A._Kenneth_Pye,1931,other
A._L._Abdul_Majeed,,other
A._L._McRae,1861,other
A._L._Narayan,1887,academic
A._L._Phillips,,other
A._L._Philpott,1919,office holder
A._L._Strand,1894,office holder
A._L._Swanson,,other
A._L._Williams_(American_football),1934,other
A._LeRoy_Greason,1922,office holder
"A._Leon_Higginbotham,_Jr.",,other
A._Leonard_Allen,,other
"A._Linwood_Holton,_Jr.",,office holder
A._Lorne_Campbell,,office holder
A._M._Harun-ar-Rashid,,academic
A._M._Khusro,1925,other
A._M._Mathai,1935,academic
A._M._Miller,1861,other
A._M._Mubarak,1951,other
A._Maceo_Walker,1909,other
A._Maitland_Emmet,,academic
A._Mitchell_Palmer,,office holder
A._N._Hornby__AN_Hornby__1,,athlete
A._N._R._Robinson,,other
A._N._S._Kulasinghe,1919,other
A._N._Sherwin-White,1911,other
A._O._Scott,1966,other
A._Oveta_Fuller,1955,other
"A._P._Hall,_Jr.",1880,other
A._P._Hamann,,office holder
A._P._Herbert,,other
A._P._J._Abdul_Kalam,,office holder
A._P._Jayasuriya,,other
A._P._Patro,1876,office holder
A._P._Tugwell,,office holder
A._P._Tureaud,1899,other
A._P._Venkateswaran,1930,other
A._Piatt_Andrew,,other
A._Q._M._Badruddoza_Chowdhury,,office holder
A._R._Ammons,,author
A._R._D._Prasad,1954,other
A._R._Kennedy,1876,other
A._R._VanCleave,1889,other
A._R._Venkatachalapathy,,author
A._Ralph_Mollis,1961,other
A._Ranganadha_Rao,1930,academic
A._Ranganatha_Mudaliar,1879,office holder
A._Ray_Olpin,1898,office holder
A._Raymond_Randolph,,office holder
A._Richard_Caputo,1938,office holder
A._Richard_Newton,1951,academic
A._Ronald_Gallant,,academic
A._S._%22Doc%22_Young,1919,other
A._S._Dalal,,office holder
A._S._J._Carnahan,,other
A._S._Jeffs,1871,other
A._S._P._Liyanage,,other
A._S._Rao,1914,other
A._Sabapathy,,office holder
A._Seshayya_Sastri,1828,office holder
A._Sivathanu_Pillai,1947,academic
A._Stephen_Morse,,academic
A._Sumru_Özsoy,,academic
"A._T._%22Apple%22_Sanders,_Jr.",1926,office holder
A._T._Ariyaratne,1931,other
A._T._Mann,1943,other
A._T._Moorthy,,office holder
A._T._Myers,,other
A._Teeuw,1921,academic
A._Thomas_McLellan,1949,office holder
A._Thurairajah,,office holder
A._V._Kulasingham,1890,other
A._Veluppillai,1936,other
A._Vernon_Randall,,other
A._W._Ehrsam,1876,other
A._W._F._Edwards,,academic
A._W._Jeffries,,other
A._W._Kjellstrand,1864,other
A._W._Mailvaganam,1906,other
A._W._Pryor,1928,academic
A._W._Ristine,1878,other
A._W._Shepard,1865,other
A._Wallace_Tashima,1934,office holder
A._William_Sweeney,1920,office holder
AAMS_Arefin_Siddique,1953,other
AD_Singh,1981,other
Amina_Mohamed,,office holder
Amina_Salum_Ali,1956,office holder
Aminata_Nar_Diop,1983,athlete
Aminata_Touré,1962,office holder
Aminatta_Forna,1964,author
Amine_Gemayel,,office holder
Aminu_Bashir_Wali,,office holder
Aminu_Timberlake,,athlete
Aminul_Hoque_(writer),,author
Amir_Abbas,,office holder
Amir_Abo-Shaeer,1972,other
Amir_Aczel,,academic
Amir_Alexander,,academic
Amir_Amini,1984,athlete
Amir_Attaran,,other
Amir_Eshel,1959,office holder
Amir_Faghri,1951,academic
Amir_Farshad_Ebrahimi,1975,other
Amir_Garrett,1992,athlete
Amir_H._Jamal,,office holder
Amir_Khadir,,office holder
Amir_Mohebbian,1962,other
Amir_Muqam,1963,office holder
Amir_Omar,,office holder
Amir_Syamsuddin,1941,office holder
Amir_Ullah_Khan,,other
Amira_Hass,1956,other
Amiran_Revishvili,1956,academic
Amirkhan_Mori,1961,other
Amish_Tripathi,1974,author
Amishi_Jha,1970,academic
Amit_Bagaria,0015,other
Amit_Bhatia,1979,other
Amit_Bohensky,,other
Amit_Chakma,1959,other
